произошедшие с 21 по 22 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Республика Дагестан;4.0;-33,3;0.0;-100,0;4.0;-63,6;стаб.
Республика Ингушетия;1.0;-50,0;0.0;-100,0;1.0;100,0;стаб.
Кабардино-Балкарская Республика;5.0;400,0;2.0;100,0;7.0;100,0;22,2
Карачаево-Черкесская Республика;2.0;стаб.;1.0;100,0;4.0;100,0;20,0
Республика Северная Осетия-Алания;5.0;150,0;0.0;-100,0;6.0;100,0;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;4.0;-20,0;1.0;100,0;4.0;-33,3;20,0
Приволжский федеральный округ;74.0;-3,9;13.0;160,0;89.0;-19,8;12,7
Республика Башкортостан;13.0;-23,5;3.0;50,0;12.0;-36,8;20,0
Республика Марий Эл;1.0;стаб.;0.0;-100,0;1.0;-50,0;стаб.
Республика Мордовия;1.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Республика Татарстан (Татарстан);10.0;42,9;3.0;50,0;9.0;стаб.;25,0
Удмуртская Республика;6.0;200,0;2.0;100,0;6.0;50,0;25,0
Чувашская Республика - Чувашия;2.0;-33,3;0.0;-100,0;2.0;-50,0;стаб.
Пермский край;6.0;50,0;1.0;стаб.;13.0;225,0;7,1
Кировская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Нижегородская область;10.0;-16,7;1.0;100,0;10.0;-37,5;9,1
Оренбургская область;2.0;-71,4;0.0;-100,0;5.0;-44,4;стаб.
Пензенская область;3.0;50,0;0.0;-100,0;3.0;стаб.;стаб.
Самарская область;8.0;-20,0;2.0;100,0;10.0;-56,5;16,7
Саратовская область;8.0;стаб.;1.0;100,0;11.0;-8,3;8,3
Ульяновская область;2.0;-33,3;0.0;-100,0;3.0;-40,0;стаб.
Уральский федеральный округ;29.0;31,8;1.0;-50,0;36.0;12,5;2,7
Курганская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Свердловская область;14.0;133,3;1.0;100,0;16.0;45,5;5,9
Тюменская область;5.0;-16,7;0.0;-100,0;7.0;стаб.;стаб.
Челябинская область;8.0;14,3;0.0;-100,0;11.0;57,1;стаб.
Ханты-Мансийский автономный округ - Югра;1.0;-66,7;0.0;-100,0;1.0;-85,7;стаб.
Ямало-Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;38.0;-9,5;1.0;-87,5;47.0;-7,8;2,1
