произошедшие с 15 по 16 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Ленинградская область;7.0;-22,2;2.0;100,0;10.0;-33,3;16,7
гор. Санкт-Петербург;22.0;10,0;0.0;-100,0;22.0;15,8;стаб.
Мурманская область;4.0;300,0;0.0;-100,0;4.0;100,0;стаб.
Новгородская область;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Псковская область;7.0;133,3;0.0;-100,0;8.0;100,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;81.0;5,2;5.0;-37,5;96.0;10,3;5,0
Республика Адыгея (Адыгея);4.0;300,0;0.0;-100,0;4.0;300,0;стаб.
Республика Калмыкия;3.0;50,0;0.0;-100,0;4.0;100,0;стаб.
Республика Крым;5.0;стаб.;0.0;-100,0;5.0;66,7;стаб.
Краснодарский край;30.0;7,1;2.0;-33,3;37.0;8,8;5,1
Астраханская область;5.0;-28,6;0.0;-100,0;6.0;-14,3;стаб.
Волгоградская область;9.0;-47,1;1.0;стаб.;9.0;-59,1;10,0
Ростовская область;18.0;12,5;2.0;стаб.;24.0;41,2;7,7
гор. Севастополь;7.0;600,0;0.0;-100,0;7.0;600,0;стаб.
Северо-Кавказский федеральный округ;29.0;-6,5;5.0;150,0;32.0;-15,8;13,5
Республика Дагестан;8.0;-11,1;1.0;100,0;11.0;-21,4;8,3
Республика Ингушетия;1.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Кабардино-Балкарская Республика;4.0;33,3;0.0;-100,0;4.0;33,3;стаб.
Карачаево-Черкесская Республика;3.0;50,0;1.0;100,0;2.0;стаб.;33,3
Республика Северная Осетия-Алания;3.0;-57,1;1.0;стаб.;3.0;-70,0;25,0
Чеченская Республика;1.0;100,0;1.0;100,0;0.0;-100,0;стаб.
Ставропольский край;9.0;-10,0;1.0;стаб.;10.0;11,1;9,1
Приволжский федеральный округ;147.0;-12,0;10.0;-37,5;165.0;-25,0;5,7
Республика Башкортостан;18.0;12,5;0.0;-100,0;19.0;11,8;стаб.
Республика Марий Эл;2.0;-33,3;0.0;-100,0;2.0;-33,3;стаб.
Республика Мордовия;6.0;стаб.;2.0;стаб.;6.0;-53,8;25,0
Республика Татарстан (Татарстан);14.0;-51,7;0.0;-100,0;16.0;-46,7;стаб.
Удмуртская Республика;12.0;500,0;0.0;-100,0;14.0;600,0;стаб.
Чувашская Республика - Чувашия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Пермский край;14.0;40,0;1.0;стаб.;15.0;25,0;6,3
Кировская область;9.0;12,5;0.0;-100,0;11.0;22,2;стаб.
Нижегородская область;30.0;стаб.;4.0;100,0;35.0;-2,8;10,3
Оренбургская область;4.0;-50,0;0.0;-100,0;6.0;-64,7;стаб.
Пензенская область;6.0;20,0;2.0;стаб.;5.0;25,0;28,6
Самарская область;17.0;-5,6;1.0;стаб.;19.0;-17,4;5,0
Саратовская область;11.0;-31,3;0.0;-100,0;13.0;-50,0;стаб.
Ульяновская область;4.0;-60,0;0.0;-100,0;4.0;-81,0;стаб.
Уральский федеральный округ;61.0;17,3;2.0;100,0;66.0;-1,5;2,9
Курганская область;3.0;-50,0;0.0;-100,0;3.0;-62,5;стаб.
Свердловская область;18.0;100,0;0.0;-100,0;19.0;58,3;стаб.
Тюменская область;16.0;14,3;1.0;100,0;19.0;-5,0;5,0
Челябинская область;24.0;33,3;1.0;100,0;25.0;13,6;3,8
Ханты-Мансийский автономный округ - Югра;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ямало-Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;86.0;17,8;7.0;600,0;102.0;3,0;6,4
Республика Алтай;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Тыва;2.0;-60,0;0.0;-100,0;3.0;-76,9;стаб.
Республика Хакасия;5.0;66,7;0.0;-100,0;7.0;75,0;стаб.
Алтайский край;16.0;128,6;0.0;-100,0;16.0;60,0;стаб.
Красноярский край;16.0;23,1;2.0;100,0;16.0;стаб.;11,1
Иркутская область;13.0;30,0;2.0;100,0;14.0;40,0;12,5
Кемеровская область - Кузбасс;15.0;66,7;0.0;-100,0;21.0;90,9;стаб.
Новосибирская область;9.0;стаб.;2.0;100,0;11.0;-15,4;15,4
Омская область;8.0;-46,7;1.0;стаб.;12.0;-40,0;7,7
Томская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Дальневосточный федеральный округ;49.0;19,5;3.0;-50,0;55.0;1,9;5,2
Республика Бурятия;5.0;150,0;0.0;-100,0;6.0;200,0;стаб.
Республика Саха (Якутия);4.0;300,0;0.0;-100,0;4.0;300,0;стаб.
Забайкальский край;6.0;50,0;0.0;-100,0;8.0;60,0;стаб.
Приморский край;14.0;7,7;2.0;100,0;14.0;-30,0;12,5
Камчатский край;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Хабаровский край;7.0;-22,2;0.0;-100,0;8.0;-20,0;стаб.
Амурская область;8.0;33,3;1.0;стаб.;10.0;стаб.;9,1
Магаданская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сахалинская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Еврейская автономная область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
