со стажем управления от 20 до 25 лет (дейст. с 01.01.2022 г.), апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Республика Татарстан (Татарстан);15.0;-6,3;0.0;-100,0;18.0;-21,7;стаб.
Удмуртская Республика;9.0;80,0;2.0;100,0;9.0;28,6;18,2
Чувашская Республика - Чувашия;6.0;стаб.;0.0;-100,0;8.0;14,3;стаб.
Пермский край;13.0;44,4;5.0;150,0;13.0;8,3;27,8
Кировская область;7.0;133,3;0.0;-100,0;9.0;200,0;стаб.
Нижегородская область;21.0;-4,5;1.0;100,0;30.0;7,1;3,2
Оренбургская область;6.0;100,0;3.0;100,0;8.0;60,0;27,3
Пензенская область;9.0;200,0;0.0;-100,0;14.0;250,0;стаб.
Самарская область;13.0;-38,1;1.0;-75,0;16.0;-23,8;5,9
Саратовская область;10.0;-28,6;2.0;100,0;9.0;-60,9;18,2
Ульяновская область;7.0;16,7;0.0;-100,0;9.0;50,0;стаб.
Уральский федеральный округ;42.0;-12,5;5.0;400,0;59.0;-19,2;7,8
Курганская область;6.0;стаб.;1.0;стаб.;7.0;стаб.;12,5
Свердловская область;9.0;-18,2;0.0;-100,0;13.0;-7,1;стаб.
Тюменская область;16.0;128,6;3.0;100,0;20.0;185,7;13,0
Челябинская область;8.0;-55,6;1.0;100,0;14.0;-54,8;6,7
Ханты-Мансийский автономный округ - Югра;3.0;-25,0;0.0;-100,0;5.0;-58,3;стаб.
Ямало-Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;71.0;34,0;4.0;33,3;88.0;17,3;4,3
Республика Алтай;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Тыва;3.0;50,0;0.0;-100,0;6.0;20,0;стаб.
Республика Хакасия;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Алтайский край;12.0;50,0;0.0;-100,0;14.0;27,3;стаб.
Красноярский край;20.0;53,8;1.0;100,0;23.0;27,8;4,2
Иркутская область;12.0;50,0;2.0;100,0;14.0;40,0;12,5
Кемеровская область - Кузбасс;3.0;-25,0;0.0;-100,0;5.0;-37,5;стаб.
Новосибирская область;12.0;140,0;0.0;-100,0;16.0;166,7;стаб.
Омская область;6.0;-33,3;0.0;-100,0;8.0;-33,3;стаб.
Томская область;2.0;-33,3;1.0;100,0;1.0;-66,7;50,0
Дальневосточный федеральный округ;42.0;-23,6;4.0;-50,0;46.0;-30,3;8,0
Республика Бурятия;3.0;-25,0;0.0;-100,0;3.0;-40,0;стаб.
